"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C8,C10","8","0.1u","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"C7","1","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C9","1","100nF","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9","9","LED","","","","LED_THT:LED_D3.0mm","~"
"F1","1","Polyfuse_Small","","","","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"J1,J2,J3,J4,J6","5","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J5","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1","1","5k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R2,R3,R4,R5,R6,R7,R8,R9,R10","9","220","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R11,R12","2","5.1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","~"
"U1","1","Z84C00xxP","","","","Package_DIP:DIP-40_W15.24mm","https://archive.org/details/zilog-z-8400"
"U2","1","HM62256BLP","","","","Package_DIP:DIP-28_W15.24mm","https://web.mit.edu/6.115/www/document/62256.pdf"
"U3","1","74LS373","","","","Package_DIP:CERDIP-20_W7.62mm_SideBrazed","http://www.ti.com/lit/gpn/sn74LS373"
"U4,U7","2","74HC138","","","","Package_DIP:CERDIP-16_W7.62mm_SideBrazed","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf"
"U5","1","8255","","","","Package_DIP:DIP-40_W15.24mm","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf"
"U9","1","KM28C64A","","","","Package_DIP:DIP-28_W15.24mm","https://tvsat.com.pl/PDF/K/km28c64_sam.pdf"
"Y2","1","ACO-xxxMHz","","","","Oscillator:Oscillator_DIP-14","http://www.conwin.com/datasheets/cx/cx030.pdf"
